                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.99899,                 0.5821,                0.96968,                0.88834,                 0.7565,                0.86277,                0.58969,                0.95779,                0.53232,                0.98235,              0.0005942,              0.0005942,              0.0005942
                     74,                0.96954,                0.56208,                 0.9549,                0.90648,                0.74688,                0.86595,                0.59821,                0.94697,                0.52855,                0.98156,              0.0005744,              0.0005744,              0.0005744
                     75,                0.96955,                0.56538,                 0.9601,                0.89584,                0.75954,                0.86871,                0.59522,                0.96882,                0.52727,                0.98639,              0.0005546,              0.0005546,              0.0005546
                     76,                0.99438,                0.57179,                0.96311,                0.90237,                0.75903,                0.86937,                0.60098,                0.95021,                0.52625,                0.98083,              0.0005348,              0.0005348,              0.0005348
                     77,                0.98824,                0.55825,                0.96797,                0.90595,                0.75076,                0.86757,                0.60266,                0.94018,                0.52354,                0.97417,               0.000515,               0.000515,               0.000515
                     78,                0.96458,                0.55342,                0.95579,                0.90875,                0.74536,                 0.8665,                0.59744,                 0.9551,                0.52343,                0.97794,              0.0004952,              0.0004952,              0.0004952
                     79,                0.96076,                0.55343,                0.96318,                0.90021,                0.76314,                0.86824,                0.60481,                0.94613,                0.52284,                0.97826,              0.0004754,              0.0004754,              0.0004754
                     80,                0.96698,                0.55002,                0.95619,                0.90435,                0.75363,                0.87012,                0.60489,                0.94691,                0.52063,                0.97782,              0.0004556,              0.0004556,              0.0004556
                     81,                0.96589,                0.54821,                0.95976,                0.89935,                0.75937,                 0.8647,                0.59951,                0.94211,                0.52137,                0.97573,              0.0004358,              0.0004358,              0.0004358
                     82,                0.96508,                0.55029,                0.95622,                0.89961,                0.76731,                 0.8705,                0.60751,                0.93603,                0.52166,                0.97624,               0.000416,               0.000416,               0.000416
                     83,                0.97421,                0.55301,                0.96076,                0.90266,                0.75616,                0.86842,                0.60317,                0.93734,                0.51305,                0.97413,              0.0003962,              0.0003962,              0.0003962
                     84,                0.96692,                0.54991,                0.96086,                0.89676,                0.76376,                 0.8703,                0.60476,                0.92372,                0.50777,                0.97125,              0.0003764,              0.0003764,              0.0003764
                     85,                0.94778,                0.53941,                0.95441,                0.89773,                0.76174,                0.87277,                0.61158,                0.92817,                 0.5084,                 0.9724,              0.0003566,              0.0003566,              0.0003566
                     86,                0.95216,                0.54179,                0.95878,                0.90492,                0.76342,                0.87262,                0.60645,                0.92684,                0.50783,                0.97065,              0.0003368,              0.0003368,              0.0003368
                     87,                0.95165,                0.54083,                0.95366,                0.89248,                0.76528,                0.87095,                0.60526,                0.93202,                0.51076,                0.97169,               0.000317,               0.000317,               0.000317
